    PID RUSER    USER     CMD
   3193 daniil   daniil   /usr/libexec/gvfs-gphoto2-volume-monitor
   3194 daniil   daniil   /usr/bin/pipewire-pulse
   3217 daniil   daniil   /usr/libexec/gvfs-goa-volume-monitor
   3223 daniil   daniil   /usr/libexec/goa-daemon
   3227 daniil   daniil   /usr/libexec/xdg-desktop-portal
   3232 daniil   daniil   /usr/libexec/xdg-document-portal
   3239 daniil   root     fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   3243 daniil   daniil   /usr/libexec/xdg-desktop-portal-gnome
   3254 daniil   daniil   /usr/libexec/goa-identity-service
   3272 daniil   daniil   /usr/libexec/gvfs-afc-volume-monitor
   3286 daniil   daniil   /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.543DW3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients -enable-ei-portal
   3302 sssd     sssd     /usr/libexec/sssd/sssd_kcm --logger=files
   3307 daniil   daniil   /usr/libexec/evolution-calendar-factory
   3328 daniil   daniil   /usr/libexec/evolution-addressbook-factory
   3353 daniil   daniil   /usr/libexec/gsd-printer
   3382 daniil   daniil   /usr/libexec/gvfsd-metadata
   3407 daniil   daniil   /usr/libexec/ibus-engine-simple
   3579 daniil   daniil   /usr/libexec/gsd-xsettings
   3585 daniil   daniil   /usr/libexec/mutter-x11-frames
   3599 daniil   daniil   /usr/libexec/ibus-x11
   3619 daniil   daniil   /usr/libexec/xdg-desktop-portal-gtk
   3628 daniil   daniil   /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
   3694 root     root     /usr/libexec/fwupd/fwupd
   3801 root     root     /usr/sbin/dnf5daemon-server
   3861 passim   passim   /usr/libexec/passimd
   3879 daniil   daniil   /usr/bin/python3 /usr/share/ibus-typing-booster/engine/main.py --ibus
   4207 daniil   daniil   /usr/bin/ptyxis --gapplication-service
   4216 daniil   daniil   /usr/libexec/ptyxis-agent --socket-fd=3 --rlimit-nofile=1024
   4234 daniil   daniil   catatonit -P
   4246 root     root     [kworker/u9:7-blkcg_punt_bio]
   4247 root     root     [kworker/u9:8-btrfs-delalloc]
   4266 daniil   daniil   /usr/bin/bash
   4452 root     root     [kworker/u13:3-ttm]
   4453 root     root     [kworker/u13:5-ttm]
   4511 root     root     [kworker/u10:4-btrfs-endio-write]
